analysis,feature_dim,dev_mean,dev_median,lo95,hi95,hdi_spans_zero
RT slope (log-RT per recalled item),animacy,-0.0054188742722105,-0.0056187755680037,-0.0629705874058014,0.0543598337372717,True
RT slope (log-RT per recalled item),environment,0.0646116820568542,0.0646416025308937,0.0017926723569577,0.1273930049626369,False
RT slope (log-RT per recalled item),size,-0.0152511385693528,-0.0155291285073041,-0.0766851098673004,0.0452455889344261,True
RT slope (log-RT per recalled item),texture,-0.0439416692152907,-0.0435365410953589,-0.1079881243047948,0.0213647978079696,True
Relevant-fixation deviation from chance,animacy,0.0201927784250264,0.0199702247640796,-0.0061450996997227,0.046909318107333,True
Relevant-fixation deviation from chance,environment,-0.0181940686534051,-0.0181682052774761,-0.0459043214289072,0.0087229818409882,True
Relevant-fixation deviation from chance,size,-0.0014146565641336,-0.0012983371993246,-0.0283450190072276,0.024967130370251,True
Relevant-fixation deviation from chance,texture,-0.0005840532074875948,-0.00025823977827323097,-0.0263007642617942,0.0250089952790274,True
Choice x Valence interaction on Delta relevant fixation,animacy,0.0313258764876287,0.0316396874650119,-0.048586320832405,0.1103234349096386,True
Choice x Valence interaction on Delta relevant fixation,environment,-0.0379828830221208,-0.0374030077166014,-0.1092685255498221,0.0314042459779696,True
Choice x Valence interaction on Delta relevant fixation,size,0.0578065389237517,0.0572195775939733,-0.0192235283677797,0.1383961553721763,True
Choice x Valence interaction on Delta relevant fixation,texture,-0.0511495323892595,-0.0505400811081971,-0.123870686473909,0.022557507215126,True
"Accuracy (logit, no covariate)",animacy,0.030490616274415,0.0288147208857066,-0.151188812100784,0.2154226333932954,True
"Accuracy (logit, no covariate)",environment,0.0407418629997957,0.0396604999766866,-0.1556673971673951,0.2466213679072916,True
"Accuracy (logit, no covariate)",size,-0.0178392155023162,-0.0157276959101236,-0.2040557010698716,0.1629083266515476,True
"Accuracy (logit, no covariate)",texture,-0.0533932637718945,-0.0537069213442625,-0.2326064661496225,0.1228420950361958,True
RT ~ (true offer value)^2 (per-dim quadratic),animacy,-0.02759397191494,-0.0276209691645559,-0.0682349936239221,0.0130780391968893,True
RT ~ (true offer value)^2 (per-dim quadratic),environment,0.0229039970462072,0.0225707742157879,-0.0208887233620994,0.0669433575273228,True
RT ~ (true offer value)^2 (per-dim quadratic),size,-0.0114603525888434,-0.0114560974426795,-0.0531154786708037,0.0280944631279917,True
RT ~ (true offer value)^2 (per-dim quadratic),texture,0.0161503274575762,0.0164686162270105,-0.0228071047332836,0.054342793429569,True
RT ~ (recalled offer value)^2 (per-dim quadratic),animacy,-0.004550939436309,-0.0044244647671698,-0.0580794789028846,0.0461791392833578,True
RT ~ (recalled offer value)^2 (per-dim quadratic),environment,0.0059178443175032,0.005671921268134,-0.0433892065726002,0.0566166703351894,True
RT ~ (recalled offer value)^2 (per-dim quadratic),size,0.0051970321130718,0.0054148045608491,-0.0463122312067899,0.0563711490950937,True
RT ~ (recalled offer value)^2 (per-dim quadratic),texture,-0.0065639369942659,-0.00601672429597,-0.0616838650103778,0.0462403583321844,True
Choice ~ true offer value (per-dim logit slope),animacy,0.2384423131585009,0.2337463933749187,-0.0496331844693137,0.5652542630199421,True
Choice ~ true offer value (per-dim logit slope),environment,-0.0396483074742939,-0.0429641259053745,-0.301597777751193,0.252915780413897,True
Choice ~ true offer value (per-dim logit slope),size,-0.133108608111076,-0.1350487340097144,-0.3833379587240415,0.1236376633517548,True
Choice ~ true offer value (per-dim logit slope),texture,-0.0656853975731309,-0.0667258798994223,-0.3293730171631373,0.2217413934529027,True
Choice ~ recalled offer value (per-dim logit slope),animacy,0.3294883387006566,0.3230455796667565,0.0036162862610194,0.6834976399636842,False
Choice ~ recalled offer value (per-dim logit slope),environment,-0.1666838954039599,-0.1696844804879391,-0.4313809257744434,0.1178845011768088,True
Choice ~ recalled offer value (per-dim logit slope),size,-0.0347695050803315,-0.0420013343290874,-0.3399213603104506,0.3093457058726098,True
Choice ~ recalled offer value (per-dim logit slope),texture,-0.1280349382163652,-0.1284152846943814,-0.4119016861343342,0.1660534070492355,True
