subject_id,group,auc,crossing_80
H101,human,0.9210396274936326,7
H103,human,0.8487603250588199,12
H104,human,0.9848960252234531,2
H105,human,0.9846179898054399,3
H106,human,0.9636991595267383,3
H108,human,0.8970592254112163,8
H109,human,0.9850610627103956,3
H110,human,0.7820041584143667,15
H111,human,0.9946432591913444,2
H113,human,0.9876474799769204,2
H114,human,0.8599530367677298,10
H115,human,0.9381942545229132,6
H116,human,0.6525808148322089,26
H117,human,0.9527350742912511,4
H118,human,0.9480684268368583,5
H119,human,0.955929318737746,5
H120,human,0.9453155149947907,5
H122,human,0.9584469886676016,4
H123,human,0.9197365667766716,7
H124,human,0.9478879263865999,5
H125,human,0.8591238362591523,12
H126,human,0.8748951019760508,10
H127,human,0.9884260274126407,2
H128,human,0.9701726186011899,4
H129,human,0.9932403549281722,2
H132,human,0.9184781252124253,6
H133,human,0.9251521232146359,6
H134,human,0.9234051256884365,6
H135,human,0.9240559122012753,7
H136,human,0.929104055219249,6
H137,human,0.9015065547610541,9
H138,human,0.9906814126687524,2
H139,human,0.9096265403689893,8
H140,human,0.812969563757853,15
H141,human,0.9304125840292079,6
H142,human,0.9809251524122249,2
H144,human,0.9522786668695892,4
H146,human,0.6890547334036484,24
H148,human,0.958760383548991,5
H149,human,0.8204696027987173,13
H150,human,0.7821225572481413,15
N901,nn,0.9331543019908338,6
N902,nn,0.9387938866726177,6
N903,nn,0.9431501386160733,5
N904,nn,0.9359448422380686,6
N905,nn,0.934282921460017,6
