subject,choice_accuracy,rt_mean,rt_median,spatial_recall_rate
101,0.8392857142857143,10.61940378414043,8.746546687500086,1.0
103,0.6607142857142857,14.433952219466196,11.766772437549662,1.0
104,0.6785714285714286,3.3708410312683554,2.4013121040188707,1.0
105,0.5714285714285714,2.395202907775196,2.220936458965298,1.0
106,0.7142857142857143,3.995538496264739,2.552093583974056,1.0
107,0.6428571428571429,7.483882313916443,5.802704249508679,0.9761904761904762
108,0.7142857142857143,13.717934376560152,10.923263479489833,1.0
109,0.6964285714285714,2.9075230980940563,1.499728958006017,0.9761904761904762
110,0.6607142857142857,13.047868575160724,10.040511229017284,1.0
111,0.6785714285714286,2.8167088995521357,2.022273666691035,1.0
113,0.6428571428571429,4.668781258215729,3.982344500022009,1.0
114,0.9464285714285714,10.136824258189465,8.631790958403144,1.0
115,0.5,8.823573032030254,6.22905218746746,1.0
116,0.6964285714285714,27.493017428498465,25.834943520487286,1.0
117,0.6607142857142857,5.775220366086744,4.002054104115814,1.0
118,0.6071428571428571,9.613038506712266,9.804717750404961,1.0
119,0.5714285714285714,4.647504723955145,4.642286063055508,0.8333333333333334
120,0.5714285714285714,7.756544520134672,5.345969833084382,1.0
122,0.5714285714285714,7.041507947275282,5.140888187568635,1.0
123,0.875,11.002637744897843,9.182460666634142,1.0
124,0.625,8.703934666663242,8.139707520371303,1.0
125,0.5892857142857143,16.108605971680454,15.335541895939969,1.0
126,0.7142857142857143,8.49878548376312,7.495265104109421,0.9761904761904762
127,0.7321428571428571,3.3074229277720275,2.6659153959481046,1.0
128,0.8928571428571429,6.7758059464311895,5.822205270524137,1.0
129,0.75,2.6538084754013522,2.2381603334797546,0.8809523809523809
131,0.5,4.078538528943942,3.7534163539821748,1.0
132,0.5535714285714286,10.773933338534594,6.657527833493077,1.0
133,0.6785714285714286,5.959695303568359,3.8715987083414802,0.9761904761904762
134,0.6607142857142857,6.881038557983369,5.368362166496809,1.0
135,0.75,9.917965817735032,8.344638041511644,0.9523809523809523
136,0.625,6.737778037268852,4.898452395980712,1.0
137,0.4642857142857143,10.605461223249481,10.610560708504636,1.0
138,0.625,3.5487510304582037,3.177890770486556,0.9761904761904762
139,0.6428571428571429,6.452538872744689,4.690327021002304,0.9761904761904762
140,0.5892857142857143,15.857152839309752,14.441946396022104,0.9761904761904762
141,0.6607142857142857,7.7834316941132,6.048420583480038,0.9523809523809523
142,0.75,1.7506967492518015,1.0042477499810047,0.8809523809523809
144,0.6071428571428571,6.941946130863341,5.227353937516455,0.9761904761904762
146,0.8035714285714286,22.4005552924999,14.846730041492265,1.0
148,0.6785714285714286,3.5687249315714302,2.752273270500041,1.0
149,0.5,18.617409747017877,14.470897958500245,1.0
150,0.9642857142857143,21.907980657714234,17.552101437499914,1.0
