subject,decision_label,category,mean_prop,relevance,valence_label
101,leave,rel_pos,0.20632637890563013,relevant,positive
101,take,rel_pos,0.39035787309932307,relevant,positive
103,leave,rel_pos,0.18212298592452653,relevant,positive
103,take,rel_pos,0.29879847929417225,relevant,positive
104,leave,rel_pos,0.13131389039550237,relevant,positive
104,take,rel_pos,0.4233165716146731,relevant,positive
105,leave,rel_pos,0.19444516139851675,relevant,positive
105,take,rel_pos,0.2757803891464348,relevant,positive
106,leave,rel_pos,0.30081675044971823,relevant,positive
106,take,rel_pos,0.3860016235754169,relevant,positive
108,leave,rel_pos,0.28516697779348726,relevant,positive
108,take,rel_pos,0.32667274633498594,relevant,positive
109,leave,rel_pos,0.2278941232047754,relevant,positive
109,take,rel_pos,0.4929940839081346,relevant,positive
110,leave,rel_pos,0.20413609659196155,relevant,positive
110,take,rel_pos,0.2761878686287448,relevant,positive
111,leave,rel_pos,0.2231481002991519,relevant,positive
111,take,rel_pos,0.20476027397524893,relevant,positive
113,leave,rel_pos,0.0623549272413513,relevant,positive
113,take,rel_pos,0.4571381323123065,relevant,positive
114,leave,rel_pos,0.47178812046485064,relevant,positive
114,take,rel_pos,0.3719460826212929,relevant,positive
115,leave,rel_pos,0.298485617676032,relevant,positive
115,take,rel_pos,0.32857164783918974,relevant,positive
116,leave,rel_pos,0.24112047034654827,relevant,positive
116,take,rel_pos,0.40704335813120457,relevant,positive
117,leave,rel_pos,0.304358203298968,relevant,positive
117,take,rel_pos,0.42018180122790394,relevant,positive
118,leave,rel_pos,0.295413524398662,relevant,positive
118,take,rel_pos,0.2940373752181376,relevant,positive
119,leave,rel_pos,0.1805624542135655,relevant,positive
119,take,rel_pos,0.30680746548495935,relevant,positive
120,leave,rel_pos,0.2754772972479798,relevant,positive
120,take,rel_pos,0.2685906011712658,relevant,positive
122,leave,rel_pos,0.22494399112477642,relevant,positive
122,take,rel_pos,0.258741373348564,relevant,positive
123,leave,rel_pos,0.2455276880362585,relevant,positive
123,take,rel_pos,0.36699160597972125,relevant,positive
124,leave,rel_pos,0.4357141862478265,relevant,positive
124,take,rel_pos,0.304153648582313,relevant,positive
125,leave,rel_pos,0.2715435826644333,relevant,positive
125,take,rel_pos,0.31921853205554823,relevant,positive
126,leave,rel_pos,0.16758289420370273,relevant,positive
126,take,rel_pos,0.32306543886580336,relevant,positive
127,leave,rel_pos,0.07142857142857142,relevant,positive
127,take,rel_pos,0.4946015283010027,relevant,positive
128,leave,rel_pos,0.37468760798966244,relevant,positive
128,take,rel_pos,0.31129145293777216,relevant,positive
129,leave,rel_pos,0.3429075973960798,relevant,positive
129,take,rel_pos,0.271681207657597,relevant,positive
132,leave,rel_pos,0.2223351509602869,relevant,positive
132,take,rel_pos,0.23009187260373348,relevant,positive
133,leave,rel_pos,0.2663393392802016,relevant,positive
133,take,rel_pos,0.5557375779663356,relevant,positive
134,leave,rel_pos,0.24858085812447886,relevant,positive
134,take,rel_pos,0.3437545274559847,relevant,positive
135,leave,rel_pos,0.2691437941477037,relevant,positive
135,take,rel_pos,0.30126083875680704,relevant,positive
136,leave,rel_pos,0.23298832841877573,relevant,positive
136,take,rel_pos,0.2662337165602888,relevant,positive
137,leave,rel_pos,0.15794832034860803,relevant,positive
137,take,rel_pos,0.4746826165800235,relevant,positive
138,leave,rel_pos,0.07828968655938458,relevant,positive
138,take,rel_pos,0.45961507018534287,relevant,positive
139,leave,rel_pos,0.2183809297469941,relevant,positive
139,take,rel_pos,0.36534245383175584,relevant,positive
140,leave,rel_pos,0.25224595805887057,relevant,positive
140,take,rel_pos,0.3289767180638858,relevant,positive
141,leave,rel_pos,0.2374931121920746,relevant,positive
141,take,rel_pos,0.322150905018874,relevant,positive
142,leave,rel_pos,0.25826923518533795,relevant,positive
142,take,rel_pos,0.33080652388168447,relevant,positive
144,leave,rel_pos,0.3138006075406682,relevant,positive
144,take,rel_pos,0.397785753674067,relevant,positive
146,leave,rel_pos,0.3466385364374025,relevant,positive
146,take,rel_pos,0.4234372692781081,relevant,positive
148,leave,rel_pos,0.3833507961181629,relevant,positive
148,take,rel_pos,0.2214655675345876,relevant,positive
149,leave,rel_pos,0.3556798609194859,relevant,positive
149,take,rel_pos,0.4075212087657727,relevant,positive
150,leave,rel_pos,0.37398535728807847,relevant,positive
150,take,rel_pos,0.3403133904338246,relevant,positive
101,leave,rel_neg,0.3653607653562825,relevant,negative
101,take,rel_neg,0.19325746607435032,relevant,negative
103,leave,rel_neg,0.4343934216395841,relevant,negative
103,take,rel_neg,0.22811512326039493,relevant,negative
104,leave,rel_neg,0.46070219204177054,relevant,negative
104,take,rel_neg,0.18654726607272698,relevant,negative
105,leave,rel_neg,0.10210590686073762,relevant,negative
105,take,rel_neg,0.1642449699663927,relevant,negative
106,leave,rel_neg,0.3266669162363691,relevant,negative
106,take,rel_neg,0.27158744351370395,relevant,negative
108,leave,rel_neg,0.3628345147185955,relevant,negative
108,take,rel_neg,0.2839704113225636,relevant,negative
109,leave,rel_neg,0.16523924296150497,relevant,negative
109,take,rel_neg,0.2198338617651967,relevant,negative
110,leave,rel_neg,0.4391463591537749,relevant,negative
110,take,rel_neg,0.24582282112270135,relevant,negative
111,leave,rel_neg,0.17465394685683355,relevant,negative
111,take,rel_neg,0.145384542408089,relevant,negative
113,leave,rel_neg,0.23365128179001943,relevant,negative
113,take,rel_neg,0.18943454639033214,relevant,negative
114,leave,rel_neg,0.2515783717832687,relevant,negative
114,take,rel_neg,0.31149148644070324,relevant,negative
115,leave,rel_neg,0.25521788971222653,relevant,negative
115,take,rel_neg,0.2165133309258499,relevant,negative
116,leave,rel_neg,0.3216954411260701,relevant,negative
116,take,rel_neg,0.22559285503332147,relevant,negative
117,leave,rel_neg,0.23829655769205296,relevant,negative
117,take,rel_neg,0.13933093068382374,relevant,negative
118,leave,rel_neg,0.35239158306678253,relevant,negative
118,take,rel_neg,0.2621048273049054,relevant,negative
119,leave,rel_neg,0.45681100020798676,relevant,negative
119,take,rel_neg,0.09166922020363062,relevant,negative
120,leave,rel_neg,0.25256137683146884,relevant,negative
120,take,rel_neg,0.22187825917217907,relevant,negative
122,leave,rel_neg,0.37786990602284776,relevant,negative
122,take,rel_neg,0.3445754821835907,relevant,negative
123,leave,rel_neg,0.2402209713856512,relevant,negative
123,take,rel_neg,0.21383562213801935,relevant,negative
124,leave,rel_neg,0.25011793623664946,relevant,negative
124,take,rel_neg,0.2810224748750588,relevant,negative
125,leave,rel_neg,0.4344440085410934,relevant,negative
125,take,rel_neg,0.34411576481297124,relevant,negative
126,leave,rel_neg,0.4000410176810894,relevant,negative
126,take,rel_neg,0.24255876104299534,relevant,negative
127,leave,rel_neg,0.17286568337100253,relevant,negative
127,take,rel_neg,0.22453326418223268,relevant,negative
128,leave,rel_neg,0.24834215396884673,relevant,negative
128,take,rel_neg,0.3091991450469383,relevant,negative
129,leave,rel_neg,0.2028296440604411,relevant,negative
129,take,rel_neg,0.18159901630852002,relevant,negative
132,leave,rel_neg,0.3944531333583092,relevant,negative
132,take,rel_neg,0.40917299609627406,relevant,negative
133,leave,rel_neg,0.3750701364547439,relevant,negative
133,take,rel_neg,0.12346218190333196,relevant,negative
134,leave,rel_neg,0.19840442663666755,relevant,negative
134,take,rel_neg,0.2083719252284077,relevant,negative
135,leave,rel_neg,0.18935975500472113,relevant,negative
135,take,rel_neg,0.27606744510375225,relevant,negative
136,leave,rel_neg,0.316378149664421,relevant,negative
136,take,rel_neg,0.1301103102756887,relevant,negative
137,leave,rel_neg,0.37726289514451494,relevant,negative
137,take,rel_neg,0.27518538709053825,relevant,negative
138,leave,rel_neg,0.7725446825840682,relevant,negative
138,take,rel_neg,0.1244004408208099,relevant,negative
139,leave,rel_neg,0.366161197166919,relevant,negative
139,take,rel_neg,0.09946179654107964,relevant,negative
140,leave,rel_neg,0.3259559600167131,relevant,negative
140,take,rel_neg,0.2637412821164427,relevant,negative
141,leave,rel_neg,0.31876572074717746,relevant,negative
141,take,rel_neg,0.2633101889344253,relevant,negative
142,leave,rel_neg,0.23540400350142232,relevant,negative
142,take,rel_neg,0.21081522619880888,relevant,negative
144,leave,rel_neg,0.31819048916620757,relevant,negative
144,take,rel_neg,0.16619747838279914,relevant,negative
146,leave,rel_neg,0.38542386329016143,relevant,negative
146,take,rel_neg,0.2738966457003743,relevant,negative
148,leave,rel_neg,0.17566097424158555,relevant,negative
148,take,rel_neg,0.1932204226423373,relevant,negative
149,leave,rel_neg,0.25806626935276966,relevant,negative
149,take,rel_neg,0.2346036935718656,relevant,negative
150,leave,rel_neg,0.28203809860415957,relevant,negative
150,take,rel_neg,0.31226782709425194,relevant,negative
