feature,coef,lo,hi,value_source,feature_set,visit_type,visit_normalization,regularization,n_folds,seed,n_bootstrap,n_sims
loc1_pt_x_val,-0.056043628040608785,-0.20366232363600775,0.08853875326828631,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc1_pt_x_rel,-0.04229491504872433,-0.18339438880445602,0.08250931516033166,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc1_pt_x_val_x_rel,0.4025374458147453,0.24655188043444762,0.5740789406728883,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc2_pt_x_val,-0.10555236553453812,-0.27639723964810387,0.03138493059670894,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc2_pt_x_rel,0.025969270980984754,-0.12086297556695334,0.15066360002862686,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc2_pt_x_val_x_rel,0.35761096110931445,0.23271185235311836,0.5208416709250288,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc3_pt_x_val,-0.1301580822611143,-0.3200184289329291,0.048932030988580455,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc3_pt_x_rel,0.03863281642027319,-0.07184731484256651,0.15299052182744755,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc3_pt_x_val_x_rel,0.3689137251420478,0.1981051238754619,0.5814900234157359,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc4_pt_x_val,-0.14426129331836557,-0.30648139725561213,0.029718199687597733,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc4_pt_x_rel,-0.01078156685476493,-0.13144792115305962,0.1114899833661126,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc4_pt_x_val_x_rel,0.25730867184467193,0.1070735343540689,0.44237909892324356,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc5_pt_x_val,-0.0659928787187923,-0.21022241853995272,0.13121396812578706,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc5_pt_x_rel,0.020627375191484856,-0.09494506225372638,0.15545344914529097,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc5_pt_x_val_x_rel,0.2639858870261983,0.10223348338416839,0.48077920009492664,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc6_pt_x_val,-0.07386017240677199,-0.26170645198264214,0.053557276889442285,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc6_pt_x_rel,0.011381818321757478,-0.09005927651820446,0.11634655459845522,recalled,location_interactions,all,within,l2,10,1,1000,10000
loc6_pt_x_val_x_rel,0.2276385522430875,0.11855425265735907,0.3938130463010456,recalled,location_interactions,all,within,l2,10,1,1000,10000
