variable,mean,sd,median,2.5%,50%,97.5%,rhat,ess_bulk,predictor,dataset
beta[1],0.0010622032245028471,0.003262456620010078,0.001001018836142866,-0.005184445006456998,0.001001018836142866,0.0075237483000257935,1.0007231778207977,3713.468313365967,share_k_z,walk_mixed_10x
beta[2],-0.5682320692548664,0.004522728880100039,-0.5682151319916313,-0.577262480588578,-0.5682151319916313,-0.559532527700348,1.0032056696371603,2177.9953219458225,dist_cw_z,walk_mixed_10x
beta[3],-0.568857558840707,0.004509611603853051,-0.5688386636307667,-0.577435061738767,-0.5688386636307667,-0.5602973365367647,1.0008811493303236,2439.0328192487727,dist_ccw_z,walk_mixed_10x
beta[4],-0.023957545352839872,0.006441656362145254,-0.02374131694166342,-0.0367538839036613,-0.02374131694166342,-0.011506122160645366,1.0031627699375452,1686.9191282805743,enc_lag_fwd_z,walk_mixed_10x
beta[5],-0.03401147429169936,0.006281863474471043,-0.03392602721855717,-0.04637666928146381,-0.03392602721855717,-0.02177126625397412,1.0014693479969037,1752.6747563193571,enc_lag_bwd_z,walk_mixed_10x
beta[6],0.009167260249848406,0.004537242427285831,0.009111047010137827,4.0203427006814087e-4,0.009111047010137827,0.018130858145131327,1.0019079866750915,1821.793688416588,is_primacy_k_z,walk_mixed_10x
beta[7],0.013116032099983969,0.004579568187980086,0.013016943334063044,0.0043057921542674965,0.013016943334063044,0.021965751902923297,1.0022171782311533,1708.6578583466426,is_recency_k_z,walk_mixed_10x
beta[8],0.003626530423921443,0.0031129487143768185,0.003614551086290599,-0.0024813917384487955,0.003614551086290599,0.009864144979236605,1.0008900548489887,4111.608113057112,abs_reward_k_z,walk_mixed_10x
beta[9],-0.0024080041351823415,0.002997451837138233,-0.0024366638731824894,-0.008223157739865063,-0.0024366638731824894,0.003430634238294559,1.0002421324421014,4150.790159024651,signed_reward_k_z,walk_mixed_10x
beta[10],0.12837205337108537,0.002462665856727644,0.12843481092200437,0.1234827316882943,0.12843481092200437,0.13319854635178197,1.0008081748020163,4024.346871721398,is_prev_fixation_k_z,walk_mixed_10x
